Symbol,Rank,Score,3M Return,6M Return
GLENMARK,261,0.3124081560572527,-0.010214070405238584,0.14077433538659823
SHYAMMETL,262,0.3093240331772908,0.12170693711730807,0.11416731027903082
PHOENIXLTD,263,0.30917336734098155,0.12153541606929763,0.09252142142961417
POONAWALLA,264,0.3090918764262667,0.20197520736185592,0.01753671739508822
TEJASNET,265,0.3001464771069087,0.1906342973962014,0.544482464380823
MIDHANI,266,0.2999015281782077,0.09678230563455159,0.19851952636580195
OPTIEMUS,267,0.2976984332669105,0.3295591816407546,0.32254982161147727
KIRLPNU,268,0.29215393908018866,0.002410171344076728,0.37353319725430234
MARICO,269,0.2874759161444762,0.021381196731042884,0.06988694125115624
CUB,270,0.2854736774854957,0.20499331383815078,0.04348854928979162
IFBIND,271,0.28427883790504743,0.300487596144829,0.193733661974401
POLYCAB,272,0.2828339524357472,-0.0004704937782881169,0.16816022343702852
ICICIBANK,273,0.2828160290801855,0.14126513074603797,0.013944625187059634
CANHLIFE,274,0.28277537900317484,0.11501277991771053,-0.009833852352302164
PNB,275,0.28257213720323926,0.209986728880023,-0.060766315007454
PARADEEP,276,0.28178669114593263,0.22298472014219506,0.21764894699850723
SPARC,277,0.2817272802251431,0.19047038136627448,0.4607820518517194
LOTUSDEV,278,0.27230930395694525,0.21231833100861008,0.14886617487029974
CHOICEIN,279,0.2712659184138074,0.22739740482880277,0.012132214084372261
HINDCOPPER,280,0.26839561510808435,-0.022111393067650087,-0.0019319223286401455
AFFLE,281,0.2657321551280209,0.17497600423834303,0.12602829878249433
ASHOKLEY,282,0.2655653135158197,0.19296159944569102,-0.13456742643460884
HYUNDAI,283,0.26010601876017236,0.2387790979098976,-0.009076847157648782
PREMIERENE,284,0.2464632659970891,0.029790214461045794,0.3318259195873059
ASAHIINDIA,285,0.24623629853664777,0.20088451170773203,0.013937098800746117
ALKYLAMINE,286,0.24622788269003423,0.11755305738323463,0.24878100442557582
JYOTICNC,287,0.2335070740540544,0.3259736568818803,0.05589950418917922
SAPPHIRE,288,0.2325635558505264,0.2959347863837203,0.06363510206281542
ENGINERSIN,289,0.23201955825211065,0.03136180531481192,0.1498655437510965
ABSLAMC,290,0.2247510711033305,0.052056096243067174,0.14527186312705198
METROPOLIS,291,0.22420297409006393,0.09034366324840448,0.14780161806269954
PICCADIL,292,0.2118421163719755,0.19052130597668038,0.15460471650888286
PGEL,293,0.20470233916240987,0.3066942695694965,-0.04471542856497912
BERGEPAINT,294,0.19471243268600938,0.04865098046570959,0.1948790576957522
ABDL,295,0.19451905089226423,0.16810177091159817,0.1824452435590871
ARE&M,296,0.1876246970389533,0.16053137999748057,0.09945440806693617
BEML,297,0.18679351149373866,0.10693127660947344,0.10837368150834092
KRBL,298,0.18643063936177984,0.20006085872835722,0.038851574442595016
TANLA,299,0.18558136349007884,0.16481404568484015,0.2445578786054583
GRAPHITE,300,0.1848184592123561,-0.019774605191797745,0.07570377060083588
GRAVITA,301,0.17936423822706182,0.12145443697370184,0.12547079417837304
NIACL,302,0.17683008235091466,0.14224201025448102,0.2137582238677722
TIPSMUSIC,303,0.17125400158020976,0.02239219344273713,0.18598967821453205
BBOX,304,0.1647120392101887,-0.1708190739037706,0.4643565859361305
IGIL,305,0.16103811806712054,0.1203319938586902,0.05326331582895727
VIYASH,306,0.15102858280197995,0.12582052028357205,0.13341074572468448
SBIN,307,0.15034821820030717,0.12390890077596639,-0.11819596834600765
BAJAJFINSV,308,0.14947465472031563,0.15014491101250527,-0.02148939016167628
THERMAX,309,0.14742605851785542,-0.06365769879743954,0.3302824097999284
MAHSEAMLES,310,0.14731618563180868,-0.02913915881931195,0.1670128706278209
MOTILALOFS,311,0.14604587189213733,0.12417600160243802,0.20313006106177767
360ONE,312,0.1447548083808558,0.058919335819963115,0.04399563956148134
FIVESTAR,313,0.1341353556547155,0.19126139878977821,0.22420893205784242
INDHOTEL,314,0.12807451837801154,0.11325452110035883,0.03870127975573867
APLLTD,315,0.12668786578068061,0.1563018613655487,0.08038836198755495
NIVABUPA,316,0.12185226481879671,0.04763101999923891,0.09542487649356612
GODREJPROP,317,0.12054984318690312,0.19909078728556984,0.0726364633210943
OLECTRA,318,0.11923661307647984,0.10185114818244223,0.2902410200369485
JKPAPER,319,0.11142557858915149,0.04173959807524352,0.1280069757512734
TIINDIA,320,0.10982644370453269,0.05368233260809063,0.20027349322954002
CCL,321,0.1098016572822226,0.03998530320041627,0.1326973703703298
OLAELEC,322,0.10109731584155712,0.11107933106832268,0.3757533723087858
BALUFORGE,323,0.10036933832589795,0.1577310523662805,0.07262068086519302
DLF,324,0.10018477967864108,0.1870998177172769,0.059049359196597484
CEATLTD,325,0.09874788615157332,0.16503773348554351,-0.05896979776852773
MEESHO,326,0.09514174794805681,0.013655494678897817,0.2359118562625231
LGEINDIA,327,0.09216459109713623,0.08471682755932508,0.05880095548249131
INDIGO,328,0.09170100935888731,0.22085267010131981,0.048108606207203364
LXCHEM,329,0.09041544873487736,0.1577021325928991,0.2546063954591693
PNGJL,330,0.09015128167019733,0.11049977074736361,0.06508355321020232
ZEEL,331,0.08729790945700112,0.24654130955846676,0.11284698018781691
POLICYBZR,332,0.08357680492698245,0.0032030975402026485,0.16770973662720534
ADANIGREEN,333,0.07920953121559662,-0.03674218321995981,0.31856812655082467
CLEAN,334,0.07588514487781205,0.11387499085799058,0.09520055807240313
M&M,335,0.0747510555243623,0.12142496730487795,-0.020496211037308254
HAPPSTMNDS,336,0.07381306661118055,0.18679382928670263,0.09990656225957029
GOKEX,337,0.07372512930801833,0.21013895853057574,0.03582111762881146
DATAMATICS,338,0.07215492935368648,0.13220450468802913,0.12724204394597094
BAJAJHLDNG,339,0.0687397438369445,0.10520149890572861,0.003910001781959327
AARTIDRUGS,340,0.06813634246084184,0.12954357662518623,0.1043419847507514
MAZDOCK,341,0.06374430564710265,0.05805338931764181,0.08272621846977013
3MINDIA,342,0.05788965231889401,0.12407393808911515,-0.03457225142378173
LTFOODS,343,0.057106146992433465,0.05666740897492262,0.014054766551167885
SFL,344,0.05671716211948566,0.12009889974847043,0.16275729669176475
MRPL,345,0.05448530989865964,0.193942248614702,-0.04907147038231552
GVT&D,346,0.052379972771181726,-0.04920028334167581,0.12932653608800648
