Symbol,MarketCap,AsOf,Source
DCMSHRIRAM,155568034489.6,2026-09-09,pr_live_zip
DEEPAKFERT,171405718785.0,2026-09-09,pr_live_zip
DEEPAKNTR,223943734017.9,2026-09-09,pr_live_zip
DELHIVERY,337880273548.8,2026-09-09,pr_live_zip
DEVYANI,169122351131.45,2026-09-09,pr_live_zip
DIACABS,200234190888.0,2026-09-09,pr_live_zip
DIVISLAB,2518765887040.0,2026-09-09,pr_live_zip
DIXON,845734576245.0,2026-09-09,pr_live_zip
DLF,1621578880083.6,2026-09-09,pr_live_zip
DMART,2436079636395.0,2026-09-09,pr_live_zip
DOMS,132956006508.8,2026-09-09,pr_live_zip
DRREDDY,955696085150.0,2026-09-09,pr_live_zip
DYNAMATECH,78950524875.0,2026-09-09,pr_live_zip
ECLERX,180821910426.8,2026-09-09,pr_live_zip
EDELWEISS,126485024790.4,2026-09-09,pr_live_zip
EICHERMOT,2123101145785.0,2026-09-09,pr_live_zip
EIDPARRY,134636635981.4,2026-09-09,pr_live_zip
EIEL,36169711800.0,2026-09-09,pr_live_zip
EIHOTEL,180949126061.7,2026-09-09,pr_live_zip
ELECON,94113330642.0,2026-09-09,pr_live_zip
ELECTCAST,48366762399.85,2026-09-09,pr_live_zip
ELGIEQUIP,196119144551.6,2026-09-09,pr_live_zip
ELLEN,50039184780.0,2026-09-09,pr_live_zip
EMAMILTD,161112150000.0,2026-09-09,pr_live_zip
EMBDL,79738921048.2,2026-09-09,pr_live_zip
EMCURE,363084236776.8,2026-09-09,pr_live_zip
EMIL,70274361379.3,2026-09-09,pr_live_zip
EMMVEE,227712281353.7,2026-09-09,pr_live_zip
ENDURANCE,387624610233.6,2026-09-09,pr_live_zip
ENGINERSIN,153493772066.3,2026-09-09,pr_live_zip
ENRIN,1133780851768.5,2026-09-09,pr_live_zip
ENTERO,79564283009.1,2026-09-09,pr_live_zip
EPL,79027083379.3,2026-09-09,pr_live_zip
EQUITASBNK,83148575296.2,2026-09-09,pr_live_zip
ERIS,184987286760.0,2026-09-09,pr_live_zip
ESCORTS,334424982256.8,2026-09-09,pr_live_zip
ETERNAL,3093902417428.2,2026-09-09,pr_live_zip
ETHOSLTD,73423109592.0,2026-09-09,pr_live_zip
EUREKAFORB,77241951929.1,2026-09-09,pr_live_zip
EXIDEIND,349137500000.0,2026-09-09,pr_live_zip
FACT,508857400353.6,2026-09-09,pr_live_zip
FEDERALBNK,851572138110.0,2026-09-09,pr_live_zip
FEDFINA,58775826178.3,2026-09-09,pr_live_zip
FIEMIND,53207824656.0,2026-09-09,pr_live_zip
FINCABLES,206988109523.0,2026-09-09,pr_live_zip
FINPIPE,97234935782.55,2026-09-09,pr_live_zip
FIRSTCRY,90066975549.8,2026-09-09,pr_live_zip
FIVESTAR,157345585993.4,2026-09-09,pr_live_zip
FLUOROCHEM,522314780000.0,2026-09-09,pr_live_zip
FORCEMOT,226186222470.0,2026-09-09,pr_live_zip
FORTIS,690786705420.0,2026-09-09,pr_live_zip
FSL,177558412923.5,2026-09-09,pr_live_zip
GABRIEL,241174615298.4,2026-09-09,pr_live_zip
GAEL,76318211117.4,2026-09-09,pr_live_zip
GAIL,1149984927735.6,2026-09-09,pr_live_zip
GALLANTT,134417614459.5,2026-09-09,pr_live_zip
GESHIP,198931762137.4,2026-09-09,pr_live_zip
GHCL,39275298226.5,2026-09-09,pr_live_zip
GICRE,613864560000.0,2026-09-09,pr_live_zip
GILLETTE,243721130551.5,2026-09-09,pr_live_zip
GLAND,499200989668.4,2026-09-09,pr_live_zip
GLAXO,489617319466.8,2026-09-09,pr_live_zip
GLENMARK,687158969915.0,2026-09-09,pr_live_zip
GMDCLTD,182706900000.0,2026-09-09,pr_live_zip
GMMPFAUDLR,58687160209.6,2026-09-09,pr_live_zip
GMRAIRPORT,1041642977664.8,2026-09-09,pr_live_zip
GMRP&UI,74056082099.8,2026-09-09,pr_live_zip
GNFC,84432116451.8,2026-09-09,pr_live_zip
GODFRYPHLP,308609912160.0,2026-09-09,pr_live_zip
GODIGIT,234194993400.8,2026-09-09,pr_live_zip
GODREJAGRO,129775651736.55,2026-09-09,pr_live_zip
GODREJCP,883878669067.8,2026-09-09,pr_live_zip
GODREJIND,381734607922.8,2026-09-09,pr_live_zip
GODREJPROP,559406734030.2,2026-09-09,pr_live_zip
GOKEX,57552771112.6,2026-09-09,pr_live_zip
GOKULAGRO,68035193240.95,2026-09-09,pr_live_zip
GPIL,170320573687.2,2026-09-09,pr_live_zip
GPPL,76668735326.9,2026-09-09,pr_live_zip
GRANULES,219250715700.8,2026-09-09,pr_live_zip
GRAPHITE,165023995472.1,2026-09-09,pr_live_zip
GRASIM,2245731450600.0,2026-09-09,pr_live_zip
GRAVITA,125208656276.4,2026-09-09,pr_live_zip
GREAVESCOT,44815196872.9,2026-09-09,pr_live_zip
GRINDWELL,209604032000.0,2026-09-09,pr_live_zip
GROWW,1221030112291.55,2026-09-09,pr_live_zip
GRSE,285681232800.0,2026-09-09,pr_live_zip
GRWRHITECH,156876740485.0,2026-09-09,pr_live_zip
GSFC,63768359125.9,2026-09-09,pr_live_zip
GVT&D,1196505458055.0,2026-09-09,pr_live_zip
HAL,3344209387500.0,2026-09-09,pr_live_zip
HAPPSTMNDS,51697298334.5,2026-09-09,pr_live_zip
HAVELLS,703120074900.8,2026-09-09,pr_live_zip
HBLENGINE,202380030074.6,2026-09-09,pr_live_zip
HCC,61374136692.65,2026-09-09,pr_live_zip
HCG,106385284747.65,2026-09-09,pr_live_zip
HCLTECH,3337265335060.8,2026-09-09,pr_live_zip
HDBFS,560526800828.4,2026-09-09,pr_live_zip
HDFCAMC,1045913939760.0,2026-09-09,pr_live_zip
HDFCBANK,10581896177217.6,2026-09-09,pr_live_zip
HDFCLIFE,1109186852550.0,2026-09-09,pr_live_zip
HEG,50704846007.5,2026-09-09,pr_live_zip
HEMIPROP,35106300000.0,2026-09-09,pr_live_zip
HERITGFOOD,35271759600.0,2026-09-09,pr_live_zip
