Symbol,ATH,ATHDate,AsOf
DCMSHRIRAM,1483.8387238450434,2025-07-24,2026-09-15
DEEPAKFERT,1753.989800757197,2025-07-03,2026-09-15
DEEPAKNTR,3141.590894943098,2024-08-01,2026-09-15
DELHIVERY,708.0,2022-07-21,2026-09-15
DEVYANI,227.5,2023-09-11,2026-09-15
DIACABS,1807.3493635263928,2010-10-04,2026-09-15
DIVISLAB,9615.0,2026-09-09,2026-09-15
DIXON,19140.38174412316,2024-12-17,2026-09-15
DLF,1026.1646972475694,2008-01-15,2026-09-15
DMART,5900.0,2021-10-18,2026-09-15
DOMS,3106.069028829799,2024-12-17,2026-09-15
DRREDDY,1405.9838095385528,2026-06-29,2026-09-15
DYNAMATECH,12865.829460466755,2026-05-08,2026-09-15
ECLERX,2496.1160957516863,2026-02-03,2026-09-15
EDELWEISS,156.17456619437667,2018-05-29,2026-09-15
EICHERMOT,8165.0,2026-08-17,2026-09-15
EIDPARRY,1246.800048828125,2025-07-31,2026-09-15
EIEL,391.6000061035156,2024-12-17,2026-09-15
EIHOTEL,496.59454914888624,2024-04-10,2026-09-15
ELECON,733.9930972461859,2024-10-17,2026-09-15
ELECTCAST,230.38844445857234,2024-09-13,2026-09-15
ELGIEQUIP,789.7155919320514,2024-06-24,2026-09-15
ELLEN,637.7000122070312,2025-07-14,2026-09-15
EMAMILTD,827.125241250852,2024-09-06,2026-09-15
EMBDL,645.5019897531637,2008-01-08,2026-09-15
EMCURE,2044.024834505764,2026-08-10,2026-09-15
EMIL,262.0,2024-07-09,2026-09-15
EMMVEE,371.54998779296875,2026-07-16,2026-09-15
ENDURANCE,3072.0,2026-08-21,2026-09-15
ENGINERSIN,292.2158682840586,2024-07-12,2026-09-15
ENRIN,3968.0,2026-05-29,2026-09-15
ENTERO,1920.0,2026-09-07,2026-09-15
EPL,283.2326910611439,2020-08-21,2026-09-15
EQUITASBNK,115.02401223654275,2024-01-12,2026-09-15
ERIS,1899.8051782048703,2025-06-12,2026-09-15
ESCORTS,4311.046645751502,2024-09-27,2026-09-15
ETERNAL,368.45001220703125,2025-10-16,2026-09-15
ETHOSLTD,3524.949951171875,2024-09-13,2026-09-15
EUREKAFORB,668.2999877929688,2025-11-28,2026-09-15
EXIDEIND,611.8994338728558,2024-06-25,2026-09-15
FACT,1185.3522215840164,2024-06-21,2026-09-15
FEDERALBNK,370.4344787597656,2026-08-03,2026-09-15
FEDFINA,178.47999572753906,2026-01-14,2026-09-15
FIEMIND,2674.800048828125,2026-08-12,2026-09-15
FINCABLES,1662.7085482532798,2024-06-25,2026-09-15
FINPIPE,341.1375279407071,2024-06-07,2026-09-15
FIRSTCRY,734.0,2024-10-15,2026-09-15
FIVESTAR,937.0889558252726,2024-10-24,2026-09-15
FLUOROCHEM,4958.89990234375,2026-08-13,2026-09-15
FORCEMOT,26374.965142944882,2026-02-18,2026-09-15
FORTIS,1103.1298326042547,2025-10-17,2026-09-15
FSL,408.7465385092261,2025-01-07,2026-09-15
GABRIEL,1596.6964052725275,2026-08-05,2026-09-15
GAEL,209.19375511783528,2024-02-02,2026-09-15
GAIL,228.1703991174475,2024-07-31,2026-09-15
GALLANTT,948.0,2026-04-16,2026-09-15
GESHIP,1766.7330608502607,2026-05-19,2026-09-15
GHCL,744.0767377361747,2025-01-31,2026-09-15
GICRE,492.36707206924046,2024-12-20,2026-09-15
GILLETTE,11125.118251452233,2025-07-15,2026-09-15
GLAND,4233.846858709818,2021-08-12,2026-09-15
GLAXO,3428.427479799779,2025-06-05,2026-09-15
GLENMARK,2535.0776323504288,2026-08-28,2026-09-15
GMDCLTD,771.9000244140625,2026-04-17,2026-09-15
GMMPFAUDLR,2280.3164058161124,2020-08-12,2026-09-15
GMRAIRPORT,117.76904878255783,2007-12-06,2026-09-15
GMRP&UI,169.25,2024-09-26,2026-09-15
GNFC,780.9628413280591,2022-04-05,2026-09-15
GODFRYPHLP,3868.278555207404,2025-09-16,2026-09-15
GODIGIT,407.3999938964844,2024-09-04,2026-09-15
GODREJAGRO,850.621438733135,2025-08-01,2026-09-15
GODREJCP,1488.38045310458,2024-09-11,2026-09-15
GODREJIND,1443.0,2026-07-10,2026-09-15
GODREJPROP,3386.331374704625,2024-07-16,2026-09-15
GOKEX,1262.1500244140625,2024-12-18,2026-09-15
GOKULAGRO,259.79998779296875,2026-08-26,2026-09-15
GPIL,753.2248325232678,2023-12-29,2026-09-15
GPPL,220.90158361745137,2024-08-13,2026-09-15
GRANULES,914.8499755859375,2026-09-11,2026-09-15
GRAPHITE,896.7948228930009,2018-08-10,2026-09-15
GRASIM,3411.10009765625,2026-08-10,2026-09-15
GRAVITA,2691.003303340557,2024-09-17,2026-09-15
GREAVESCOT,313.79895092154874,2024-12-30,2026-09-15
GRINDWELL,2885.8462768254167,2024-07-04,2026-09-15
GROWW,227.1999969482422,2026-04-29,2026-09-15
GRSE,3513.7213043935994,2025-06-23,2026-09-15
GRWRHITECH,7990.0,2026-08-06,2026-09-15
GSFC,299.6456354463307,2024-01-23,2026-09-15
GVT&D,5636.049839022599,2026-06-23,2026-09-15
HAL,5542.23663859405,2024-07-09,2026-09-15
HAPPSTMNDS,1518.338817769934,2021-07-16,2026-09-15
HAVELLS,2075.8819761041373,2024-09-23,2026-09-15
HBLENGINE,1117.5594259540492,2025-11-10,2026-09-15
HCC,120.51525996079496,2008-01-02,2026-09-15
HCG,804.6500244140625,2025-10-24,2026-09-15
HCLTECH,1869.3089021157227,2025-01-13,2026-09-15
HDBFS,886.9691682101607,2025-07-03,2026-09-15
HDFCAMC,2903.739155124938,2025-10-16,2026-09-15
HDFCBANK,1003.8961237048558,2025-10-23,2026-09-15
HDFCLIFE,817.8351251558015,2025-06-30,2026-09-15
HEG,847.4948741205341,2018-10-16,2026-09-15
HEMIPROP,264.95001220703125,2024-02-05,2026-09-15
HERITGFOOD,714.8690277948762,2024-06-10,2026-09-15
HEROMOTOCO,6175.521739453033,2025-12-05,2026-09-15
HEXT,876.2399001186861,2025-07-09,2026-09-15
HFCL,256.70001220703125,2026-08-31,2026-09-15
